numberOfData, addingTime, findingTime, deletingTime
783, 100, 1400, 1400
784, 100, 3100, 1500
785, 0, 1400, 1300
786, 100, 1500, 1700
787, 100, 2400, 1400
788, 100, 1500, 1300
789, 100, 1400, 1300
790, 100, 2300, 1700
791, 100, 1900, 1700
792, 100, 1500, 1300
793, 200, 4700, 4700
794, 200, 23700, 3800
795, 200, 2200, 1400
796, 100, 1600, 1300
797, 100, 1300, 13200
798, 0, 1400, 1300
799, 1200, 40900, 11500
800, 400, 7600, 10300
801, 700, 13000, 6500
802, 500, 8000, 5100
803, 300, 6200, 22000
804, 200, 5000, 1700
805, 800, 9200, 4400
806, 200, 1800, 2700
807, 100, 1400, 1400
808, 800, 10400, 2500
809, 200, 1800, 2800
810, 100, 1500, 1200
811, 100, 1400, 1500
812, 100, 1400, 2100
813, 100, 1300, 1300
814, 0, 2000, 1500
815, 100, 1700, 2200
816, 200, 2300, 1300
817, 100, 1500, 1300
818, 100, 8100, 2500
819, 100, 1300, 1200
820, 100, 1300, 1200
821, 100, 1200, 2300
822, 100, 1300, 1200
823, 100, 1300, 1200
824, 100, 7900, 1400
825, 100, 1300, 1600
826, 100, 1400, 1200
827, 100, 2300, 1300
828, 0, 1200, 1200
829, 100, 1400, 1300
830, 100, 2200, 1600
831, 100, 1400, 1300
832, 100, 1300, 3300
833, 100, 2800, 1300
834, 0, 1300, 1500
835, 100, 1300, 1200
836, 100, 2700, 1300
837, 100, 1500, 1500
838, 0, 1300, 1300
839, 100, 4300, 4800
840, 0, 1200, 1100
841, 100, 1200, 1100
842, 100, 2000, 1100
843, 100, 1300, 1600
844, 100, 1300, 1100
845, 100, 2300, 1200
846, 100, 1200, 1100
847, 100, 1600, 1700
848, 0, 2500, 1300
849, 100, 1200, 1100
850, 0, 1300, 1700
851, 100, 2500, 1200
852, 100, 1300, 1100
853, 100, 1200, 1100
854, 0, 2100, 1100
855, 100, 1600, 1200
856, 100, 1200, 1100
857, 100, 2100, 1400
858, 100, 1500, 1500
